SEGMENTATION_VAR_1,SEGMENTATION_VAR_2,SEGMENTATION_VAR_3,SEGMENTATION_VAR_4,SEGMENTATION_VAR_5,ISSUE_DT,MOB,booked_accts,open_accts,mthly_writeoffs,credit_limit,balance,spend,revolve_balance,annual_fee
One,Existing,No Hit,CRI 18-20,University,2028-07-31,1,550,550,0,1650000,16500,24750,825,0
One,Existing,No Hit,CRI 18-20,University,2028-07-31,2,550,550,0,1677500,83875,301950,8387.5,1998
One,Existing,No Hit,CRI 18-20,University,2028-07-31,3,550,550,0,1705000,170500,477400,30690,-79
One,Existing,No Hit,CRI 18-20,University,2028-07-31,4,550,550,0,1732500,259875,641025,64968.75,0
One,Existing,No Hit,CRI 18-20,University,2028-07-31,5,550,550,0,1760000,316800,626560,114048,0
One,Existing,No Hit,CRI 18-20,University,2028-07-31,6,550,550,0,1787500,357500,632775,160875,0
One,Existing,No Hit,CRI 18-20,University,2028-07-31,7,550,550,0,1815000,363000,624360,185130,-26
One,Existing,No Hit,CRI 18-20,University,2028-07-31,8,550,550,0,1842500,423775,663300,220363,0
One,Existing,No Hit,CRI 18-20,University,2028-07-31,9,550,549,1,1869950,411389,635783,222150.06,0
One,Existing,No Hit,CRI 18-20,University,2028-07-31,10,550,549,0,1897400,474350,645116,257097.7,0
One,Existing,No Hit,CRI 18-20,University,2028-07-31,11,550,549,0,1924850,500461,654449,272250.784,0
One,Existing,No Hit,CRI 18-20,University,2028-07-31,12,550,548,1,1952250,507585,683287.5,281202.09,0
One,Existing,No Hit,CRI 18-20,University,2028-07-31,13,550,548,0,1979650,534505.5,653284.5,301461.102,0
One,Existing,No Hit,CRI 18-20,University,2028-07-31,14,550,548,0,2007050,561974,742608.5,322573.076,0
One,Existing,No Hit,CRI 18-20,University,2028-07-31,15,550,547,1,2034400,569632,762900,332665.088,0
One,Existing,No Hit,CRI 18-20,University,2028-07-31,16,550,547,0,2061750,597907.5,773156.25,355157.055,0
One,Existing,No Hit,CRI 18-20,University,2028-08-31,1,780,780,0,2340000,23400,35100,1170,0
One,Existing,No Hit,CRI 18-20,University,2028-08-31,2,780,780,0,2386800,119340,429624,11934,1998
One,Existing,No Hit,CRI 18-20,University,2028-08-31,3,780,780,0,2433600,194688,681408,35043.84,-88
One,Existing,No Hit,CRI 18-20,University,2028-08-31,4,780,780,0,2480400,372060,917748,93015,0
One,Existing,No Hit,CRI 18-20,University,2028-08-31,5,780,780,0,2527200,454896,899683.2,163762.56,0
