SEGMENTATION_VAR_1,SEGMENTATION_VAR_2,SEGMENTATION_VAR_3,SEGMENTATION_VAR_4,SEGMENTATION_VAR_5,ISSUE_DT,MOB,booked_accts,open_accts,mthly_writeoffs,credit_limit,balance,spend,revolve_balance,annual_fee
One,Existing,No Hit,CRI 18-20,University,2028-07-31,1,550,526,0,2085797.507,11616.22348,75880.89615,334.0035968,0
One,Existing,No Hit,CRI 18-20,University,2028-07-31,2,550,525,0,2074327.973,94585.62176,320420.1973,6757.329238,846.72567
One,Existing,No Hit,CRI 18-20,University,2028-07-31,3,550,524,0,2069346.216,155177.3757,355857.1914,24999.63386,-29.132304
One,Existing,No Hit,CRI 18-20,University,2028-07-31,4,550,523,0.01628622,2065148.134,179267.6619,350783.5839,39268.65306,-9.8847
One,Existing,No Hit,CRI 18-20,University,2028-07-31,5,550,522,0,2060933.256,197206.5814,353465.7165,49786.69466,-6.787044
One,Existing,No Hit,CRI 18-20,University,2028-07-31,6,550,522,0,2060819.669,214049.0957,364530.1479,58412.54269,-18.726228
One,Existing,No Hit,CRI 18-20,University,2028-07-31,7,550,522,0.01719468,2061143.57,227466.1554,359285.768,64301.04269,-20.918628
One,Existing,No Hit,CRI 18-20,University,2028-07-31,8,550,521,0,2092368.823,238836.3686,376396.646,70324.22232,-0.603318
One,Existing,No Hit,CRI 18-20,University,2028-07-31,9,550,519,0.113661,2140680.375,250611.164,389543.0329,76035.92839,4.723938
One,Existing,No Hit,CRI 18-20,University,2028-07-31,10,550,519,0.0815868,2178650.156,265389.6543,414966.1879,81737.41271,1.0643652
One,Existing,No Hit,CRI 18-20,University,2028-07-31,11,550,518,0.1622376,2200466.176,274800.3773,419388.1687,85739.69628,2.9404788
One,Existing,No Hit,CRI 18-20,University,2028-07-31,12,550,517,0.1262514,2230297.519,285786.7556,442290.747,90753.29896,1.1347116
One,Existing,No Hit,CRI 18-20,University,2028-08-31,1,780,746,0,2958184.297,16474.71999,107618.1531,473.7009187,0
